,fracs_per_day,volume_per_day,avg_volh2o_per_ft,APIs
2013-02-28,31,2766020.056729547,663.7706561583581,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000]"
2013-03-01,31,2766020.056729547,663.7706561583581,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000]"
2013-03-02,42,10819703.223396214,650.4854617604618,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000, 42255327320000, 42255327510000, 42255324600000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000]"
2013-03-03,42,10819703.223396214,650.4854617604618,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000, 42255327320000, 42255327510000, 42255324600000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000]"
2013-03-04,42,10819703.223396214,650.4854617604618,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000, 42255327320000, 42255327510000, 42255324600000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000]"
2013-03-05,42,10819703.223396214,650.4854617604618,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000, 42255327320000, 42255327510000, 42255324600000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000]"
2013-03-06,42,10819703.223396214,650.4854617604618,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000, 42255327320000, 42255327510000, 42255324600000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000, 42255328870000]"
2013-03-07,42,4503941.223396214,536.5647907647908,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327120000, 42255327140000, 42255327320000, 42255327510000, 42255324600000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000]"
2013-03-08,40,3514419.937681928,530.596396780303,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255327320000, 42255327510000, 42255324600000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000]"
2013-03-09,37,1818948.7710152613,521.5455159705159,"[42255326440000, 42255327160000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000, 42255325810000]"
