,Daily_Avg,Daily_Sum,Daily_Count,Dly_Cnt_Diff,Rig_Count,WTI_Spot_Price,Brent_Spot_Price,fracs_per_day,volume_per_day,avg_volh2o_per_ft
2018-04-09,0.0,0.0,0,0.0,30.0,63.4,68.19,16.0,12472926.652866919,2196.715982007576
2018-04-10,0.0,0.0,0,0.0,30.0,65.48,70.67,16.0,12472926.652866919,2196.715982007576
2018-04-11,0.0,0.0,0,0.0,30.0,66.81,72.74,16.0,12472926.652866919,2196.715982007576
2018-04-12,0.0,0.0,0,0.0,30.0,67.07,71.44,23.0,13940525.474685103,2056.3076910408436
2018-04-13,0.0,0.0,0,0.0,30.0,67.35,73.18,37.0,18498474.166992795,1971.5684428746931
2018-04-14,0.0,0.0,0,0.0,29.0,67.35,73.18,37.0,18498474.166992795,1971.5684428746931
2018-04-15,0.0,0.0,0,0.0,29.0,67.35,73.18,37.0,18498474.166992795,1971.5684428746931
2018-04-16,0.0,0.0,0,0.0,29.0,66.23,72.05,40.0,20919850.266992792,1938.3492992424246
2018-04-17,0.0,0.0,0,0.0,29.0,66.5,71.71,44.0,23566451.808659457,1879.8291150137745
2018-04-18,0.0,0.0,0,0.0,29.0,68.44,73.73,41.0,21893665.880088028,1909.196678677014
2018-04-19,0.0,0.0,0,0.0,29.0,68.3,74.85,39.0,19451753.21342136,1900.377248445999
2018-04-20,0.0,0.0,0,0.0,29.0,68.26,74.62,36.0,18374873.516451664,1871.783738425926
2018-04-21,3.0,3.0,1,1.0,25.0,68.26,74.62,37.0,19508646.183118332,1856.0160165847667
2018-04-22,0.0,0.0,0,-1.0,25.0,68.26,74.62,37.0,19508646.183118332,1856.0160165847667
2018-04-23,0.0,0.0,0,0.0,25.0,67.61,74.54,37.0,19508646.183118332,1856.0160165847667
2018-04-24,0.0,0.0,0,0.0,25.0,67.66,75.86,36.0,18459896.300765395,1813.7759943181818
2018-04-25,0.0,0.0,0,0.0,25.0,68.0,73.79,34.0,18959814.508333333,1922.5137867647059
2018-04-26,2.5999999999999996,5.199999999999999,2,2.0,25.0,68.18,75.39,34.0,18599995.483333334,1914.77178030303
2018-04-27,1.7,1.7,1,-1.0,25.0,68.11,75.33,33.0,18638768.883333333,1890.3045626721764
2018-04-28,0.0,0.0,0,-1.0,26.0,68.11,75.33,32.0,17504996.216666665,1909.114766808712
2018-04-29,2.9,2.9,1,1.0,26.0,68.11,75.33,32.0,17504996.216666665,1909.114766808712
2018-04-30,0.0,0.0,0,-1.0,26.0,68.56,75.92,32.0,18319845.72857143,1994.8909919507578
2018-05-01,3.05,6.1,2,2.0,26.0,67.28,74.85,32.0,18319845.72857143,1994.8909919507578
2018-05-02,0.0,0.0,0,-2.0,26.0,67.91,73.14,35.0,17897503.07067669,1980.1651190476193
2018-05-03,0.0,0.0,0,0.0,26.0,68.45,73.45,35.0,17897503.07067669,1980.1651190476193
2018-05-04,0.0,0.0,0,0.0,26.0,69.71,74.75,35.0,17897503.07067669,1980.1651190476193
2018-05-05,1.8,1.8,1,1.0,28.0,69.71,74.75,35.0,17897503.07067669,1980.1651190476193
2018-05-06,0.0,0.0,0,-1.0,28.0,69.71,74.75,35.0,17897503.07067669,1980.1651190476193
2018-05-07,0.0,0.0,0,0.0,28.0,70.74,74.75,34.0,17153149.47067669,1996.9417223707667
2018-05-08,0.0,0.0,0,0.0,28.0,68.83,74.16,11.0,8629226.270676691,2055.0925964187322
2018-05-09,0.0,0.0,0,0.0,28.0,71.16,77.6,11.0,8629226.270676691,2055.0925964187322
2018-05-10,0.0,0.0,0,0.0,28.0,71.36,77.59,10.0,7405493.270676691,1936.1271969696966
2018-05-11,0.0,0.0,0,0.0,28.0,70.69,77.37,10.0,8072592.010676691,1880.8556424242422
2018-05-12,0.0,0.0,0,0.0,29.0,70.69,77.37,10.0,8072592.010676691,1880.8556424242422
2018-05-13,0.0,0.0,0,0.0,29.0,70.69,77.37,10.0,8072592.010676691,1880.8556424242422
2018-05-14,0.0,0.0,0,0.0,29.0,71.01,78.17,10.0,8072592.010676691,1880.8556424242422
2018-05-15,0.0,0.0,0,0.0,29.0,71.34,78.94,10.0,8630920.631562278,1788.7172518939394
2018-05-16,0.0,0.0,0,0.0,29.0,71.43,78.19,10.0,7439181.831562277,1727.5950928030302
2018-05-17,0.0,0.0,0,0.0,29.0,71.47,80.09,10.0,7439181.831562277,1727.5950928030302
2018-05-18,0.0,0.0,0,0.0,29.0,71.23,78.38,10.0,7439181.831562277,1727.5950928030302
2018-05-19,0.0,0.0,0,0.0,28.0,71.23,78.38,10.0,7439181.831562277,1727.5950928030302
2018-05-20,2.15,4.3,2,2.0,28.0,71.23,78.38,10.0,7215172.451562277,1632.199983712121
2018-05-21,0.0,0.0,0,-2.0,28.0,72.26,78.34,11.0,8988663.926562278,1728.1007393250686
